sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fv5,Fv6,Fv7,Fv8,Fv9
Fc1C2Fc4C2Fv9V1LQS10,P,C0,C0,C7,C2,C2,4,0,0,0,1
Fc1C2Fc4C2Fv9V1LQS11,P,C0,C3,C1,C3,C1,10,0,0,5,0
Fc1C2Fc4C2Fv9V1LQS12,S,C0,C0,C0,C0,C8,0,0,0,6,1
Fc1C2Fc4C2Fv9V1LQS13,P,C0,C8,C2,C0,C6,0,1,5,6,1
Fc1C2Fc4C2Fv9V1LQS14,R,C6,C0,C1,C2,C3,8,0,0,0,0
Fc1C2Fc4C2Fv9V1LQS15,Q,C1,C1,C0,C3,C0,0,0,0,0,0
Fc1C2Fc4C2Fv9V1LQS16,Q,C0,C0,C0,C1,C0,0,0,7,0,1
Fc1C2Fc4C2Fv9V1LQS17,T,C4,C0,C0,C8,C3,0,9,0,0,1
Fc1C2Fc4C2Fv9V1LQS18,T,C3,C5,C0,C0,C0,0,0,0,8,1
Fc1C2Fc4C2Fv9V1LQS19,Q,C0,C1,C2,C0,C5,0,8,0,0,1
Fc1C2Fc4C2Fv9V1LQS20,Q,C0,C6,C3,C7,C0,0,0,0,0,1
Fc1C2Fc4C2Fv9V1LQS22,P,C3,C0,C0,C0,C2,0,0,0,0,1
Fc1C2Fc4C2Fv9V1LQS23,S,C0,C0,C2,C0,C0,0,0,0,0,0
Fc1C2Fc4C2Fv9V1LQS24,Q,C2,C3,C3,C8,C0,0,6,0,3,1
Fc1C2Fc4C2Fv9V1LQS25,Q,C0,C0,C0,C0,C0,0,5,0,0,0
Fc1C2Fc4C2Fv9V1LQS27,V,C6,C2,C7,C0,C6,0,8,0,0,1
Fc1C2Fc4C2Fv9V1LQS28,S,C2,C3,C3,C0,C8,0,0,0,0,0
Fc1C2Fc4C2Fv9V1LQS29,Q,C3,C0,C2,C0,C2,0,6,5,0,1
Fc1C2Fc4C2Fv9V1LQS30,S,C2,C2,C1,C3,C0,0,0,0,0,1
Fc1C2Fc4C2Fv9V1LQS31,Q,C8,C0,C0,C0,C0,0,0,0,0,1
Fc1C2Fc4C2Fv9V2LRS7,V,C0,C0,C0,C0,C0,0,0,0,3,1
Fc1C2Fc4C2Fv9V2LRS8,P,C0,C0,C0,C0,C4,0,5,0,0,2
Fc1C2Fc4C2Fv9V2LRS9,P,C0,C0,C0,C1,C1,0,0,0,0,1
Fc1C2Fc4C2Fv9V2LRS10,P,C0,C1,C5,C0,C0,0,0,0,0,2
Fc1C2Fc4C2Fv9V2LRS11,V,C3,C4,C0,C1,C0,0,6,0,0,2
Fc1C2Fc4C2Fv9V2LRS12,R,C1,C6,C3,C0,C0,0,0,4,3,2
Fc1C2Fc4C2Fv9V2LRS14,R,C2,C0,C0,C0,C0,0,3,0,4,2
Fc1C2Fc4C2Fv9V2LRS15,S,C1,C0,C6,C0,C2,7,5,0,0,2
Fc1C2Fc4C2Fv9V2LRS16,V,C2,C8,C1,C0,C3,0,2,0,8,2
Fc1C2Fc4C2Fv9V2LRS17,V,C1,C6,C0,C1,C3,0,0,0,8,1
Fc1C2Fc4C2Fv9V2LRS18,R,C0,C0,C3,C1,C0,8,0,0,0,2
Fc1C2Fc4C2Fv9V2LRS19,R,C1,C3,C2,C0,C6,4,1,0,1,3
Fc1C2Fc4C2Fv9V2LRS20,P,C0,C9,C0,C0,C3,0,0,7,0,1
Fc1C2Fc4C2Fv9V2LRS21,R,C3,C7,C2,C0,C9,0,8,7,0,2
Fc1C2Fc4C2Fv9V2LRS22,P,C3,C6,C1,C2,C5,0,0,0,9,1
Fc1C2Fc4C2Fv9V2LRS23,Q,C0,C1,C1,C0,C0,0,0,8,0,2
Fc1C2Fc4C2Fv9V2LRS25,R,C3,C1,C0,C0,C0,0,0,0,0,1
Fc1C2Fc4C2Fv9V2LRS26,Q,C8,C3,C2,C0,C1,0,0,4,8,2
Fc1C2Fc4C2Fv9V2LRS27,R,C0,C0,C3,C9,C0,0,0,0,8,1
Fc1C2Fc4C2Fv9V2LRS28,V,C0,C2,C7,C0,C0,4,3,0,2,1
Fc1C2Fc4C2Fv9V2LRS29,S,C5,C0,C1,C0,C2,0,0,4,0,2
Fc1C2Fc4C2Fv9V2LRS30,P,C0,C0,C8,C0,C3,0,0,0,0,2
Fc1C2Fc4C2Fv9V2LRS31,Q,C1,C8,C0,C0,C7,0,0,0,4,2
Fc1C2Fc4C2Fv9V3LSS7,S,C0,C0,C1,C3,C0,0,8,5,2,2
Fc1C2Fc4C2Fv9V3LSS8,R,C3,C0,C1,C0,C0,0,0,0,0,2
Fc1C2Fc4C2Fv9V3LSS9,Q,C0,C0,C4,C2,C0,0,0,0,0,3
Fc1C2Fc4C2Fv9V3LSS10,Q,C9,C0,C9,C8,C0,0,0,0,7,3
Fc1C2Fc4C2Fv9V3LSS11,Q,C0,C5,C1,C0,C3,0,8,5,2,2
Fc1C2Fc4C2Fv9V3LSS12,P,C3,C2,C7,C3,C0,0,4,0,0,2
Fc1C2Fc4C2Fv9V3LSS13,Q,C8,C3,C3,C0,C1,0,0,0,0,2
Fc1C2Fc4C2Fv9V3LSS14,V,C3,C3,C2,C9,C1,0,0,0,0,2
Fc1C2Fc4C2Fv9V3LSS15,P,C0,C1,C6,C1,C2,0,0,0,0,3
Fc1C2Fc4C2Fv9V3LSS16,S,C0,C7,C1,C5,C0,0,3,5,8,2
Fc1C2Fc4C2Fv9V3LSS17,S,C1,C1,C0,C3,C0,0,0,0,0,3
Fc1C2Fc4C2Fv9V3LSS18,P,C0,C2,C0,C0,C0,0,6,0,0,2
Fc1C2Fc4C2Fv9V3LSS19,P,C1,C0,C0,C0,C0,0,0,0,0,3
Fc1C2Fc4C2Fv9V3LSS20,P,C0,C1,C0,C1,C3,0,0,0,0,2
Fc1C2Fc4C2Fv9V3LSS22,P,C2,C0,C0,C8,C1,0,0,0,8,2
Fc1C2Fc4C2Fv9V3LSS24,S,C2,C6,C0,C0,C0,0,0,0,0,2
Fc1C2Fc4C2Fv9V3LSS25,P,C0,C0,C0,C0,C0,0,4,0,5,3
Fc1C2Fc4C2Fv9V3LSS26,P,C0,C0,C0,C1,C1,0,3,0,5,3
Fc1C2Fc4C2Fv9V3LSS27,S,C0,C0,C0,C0,C3,0,0,0,0,3
Fc1C2Fc4C2Fv9V3LSS28,T,C0,C8,C8,C0,C3,0,6,0,6,2
Fc1C2Fc4C2Fv9V3LSS29,Q,C2,C2,C3,C3,C1,0,0,0,0,3
Fc1C2Fc4C2Fv9V3LSS30,P,C0,C0,C0,C1,C0,0,0,0,0,2
Fc1C2Fc4C2Fv9V3LSS31,S,C0,C2,C1,C3,C0,4,0,0,0,2
Fc1C2Fc4C3LPS7,T,C2,C1,C1,C0,C9,0,0,0,0,0
Fc1C2Fc4C3LPS8,Q,C3,C0,C3,C0,C0,0,0,0,0,0
Fc1C2Fc4C3LPS11,P,C2,C1,C2,C0,C3,0,0,9,0,0
Fc1C2Fc4C3LPS12,Q,C9,C2,C5,C3,C0,0,0,0,0,8
Fc1C2Fc4C3LPS13,Q,C0,C0,C0,C2,C0,0,5,0,4,2
Fc1C2Fc4C3LPS14,V,C2,C2,C0,C0,C0,7,0,0,0,0
Fc1C2Fc4C3LPS16,R,C9,C2,C0,C2,C0,0,0,0,0,0
Fc1C2Fc4C3LPS17,Q,C0,C3,C2,C0,C1,0,0,0,0,0
Fc1C2Fc4C3LPS18,Q,C0,C1,C0,C1,C4,0,7,0,5,0
Fc1C2Fc4C3LPS20,Q,C0,C0,C3,C1,C0,0,0,4,0,5
Fc1C2Fc4C3LPS21,R,C3,C6,C1,C0,C1,0,0,6,0,0
Fc1C2Fc4C3LPS22,P,C2,C0,C0,C2,C1,5,0,0,0,0
Fc1C2Fc4C3LPS24,P,C3,C0,C5,C0,C1,0,3,0,0,0
Fc1C2Fc4C3LPS25,T,C0,C3,C2,C0,C0,0,0,0,3,0
Fc1C2Fc4C3LPS26,Q,C0,C1,C3,C2,C3,0,0,0,4,0
Fc1C2Fc4C3LPS27,T,C2,C2,C3,C1,C7,0,7,5,0,0
Fc1C2Fc4C3LPS28,P,C0,C1,C3,C1,C0,0,0,0,0,0
Fc1C2Fc4C3LPS29,R,C9,C3,C2,C0,C1,0,0,0,0,0
Fc1C2Fc4C3LPS30,S,C0,C0,C3,C0,C0,0,0,0,0,0
Fc1C2Fc4C3LPS31,Q,C3,C3,C6,C9,C1,0,0,0,0,0
Fc1C2Fc4C3Fv5V1LQS7,T,C0,C7,C6,C9,C1,1,8,6,0,0
Fc1C2Fc4C3Fv5V1LQS8,S,C1,C2,C0,C6,C3,0,0,0,0,0
Fc1C2Fc4C3Fv5V1LQS9,R,C0,C0,C2,C2,C1,0,0,0,0,0
Fc1C2Fc4C3Fv5V1LQS11,T,C2,C1,C1,C4,C0,0,0,5,0,0
Fc1C2Fc4C3Fv5V1LQS12,S,C0,C3,C0,C2,C0,0,4,0,0,0
Fc1C2Fc4C3Fv5V1LQS13,Q,C0,C0,C0,C0,C2,0,0,0,0,4
Fc1C2Fc4C3Fv5V1LQS14,T,C1,C3,C2,C1,C1,0,7,0,0,0
Fc1C2Fc4C3Fv5V1LQS15,S,C1,C0,C8,C4,C0,0,3,0,0,0
Fc1C2Fc4C3Fv5V1LQS16,Q,C0,C3,C0,C2,C2,1,5,0,0,0
Fc1C2Fc4C3Fv5V1LQS17,R,C0,C2,C0,C0,C5,1,3,0,8,5
Fc1C2Fc4C3Fv5V1LQS18,V,C9,C2,C1,C0,C0,1,0,2,0,5
Fc1C2Fc4C3Fv5V1LQS19,S,C5,C7,C9,C1,C0,0,6,0,10,0
Fc1C2Fc4C3Fv5V1LQS20,Q,C3,C4,C9,C1,C7,1,0,8,0,0
Fc1C2Fc4C3Fv5V1LQS21,R,C0,C0,C0,C0,C0,1,0,0,0,0
Fc1C2Fc4C3Fv5V1LQS22,P,C0,C3,C2,C6,C9,4,5,4,0,0
Fc1C2Fc4C3Fv5V1LQS23,R,C3,C0,C2,C7,C0,1,0,3,0,0
Fc1C2Fc4C3Fv5V1LQS24,S,C0,C0,C0,C0,C2,0,6,0,8,0
Fc1C2Fc4C3Fv5V1LQS25,R,C1,C0,C1,C2,C3,0,0,0,0,0
Fc1C2Fc4C3Fv5V1LQS26,Q,C0,C2,C0,C3,C0,1,0,0,0,0
Fc1C2Fc4C3Fv5V1LQS28,P,C0,C0,C0,C6,C0,1,8,0,0,0
Fc1C2Fc4C3Fv5V1LQS29,P,C4,C6,C1,C0,C0,0,2,0,1,8
Fc1C2Fc4C3Fv5V1LQS30,V,C0,C0,C2,C1,C5,1,0,0,7,0
Fc1C2Fc4C3Fv5V1LQS31,R,C4,C7,C0,C0,C0,0,0,0,0,5
Fc1C2Fc4C3Fv5V2LRS7,P,C2,C3,C0,C0,C3,2,0,0,0,0
Fc1C2Fc4C3Fv5V2LRS8,P,C0,C4,C0,C0,C0,1,8,0,0,0
Fc1C2Fc4C3Fv5V2LRS9,T,C0,C0,C3,C0,C0,1,0,0,0,0
Fc1C2Fc4C3Fv5V2LRS11,P,C0,C2,C0,C0,C7,2,0,0,0,0
Fc1C2Fc4C3Fv5V2LRS12,S,C3,C0,C2,C0,C0,1,0,0,6,0
Fc1C2Fc4C3Fv5V2LRS13,R,C0,C9,C8,C9,C0,1,3,0,3,0
Fc1C2Fc4C3Fv5V2LRS14,T,C0,C0,C0,C0,C1,1,0,0,0,0
Fc1C2Fc4C3Fv5V2LRS15,R,C0,C1,C0,C0,C0,2,0,0,0,0
Fc1C2Fc4C3Fv5V2LRS16,P,C2,C0,C2,C8,C1,1,3,0,0,0
Fc1C2Fc4C3Fv5V2LRS17,P,C0,C0,C0,C0,C7,1,2,1,0,8
Fc1C2Fc4C3Fv5V2LRS19,T,C0,C1,C0,C0,C3,1,0,0,0,8
Fc1C2Fc4C3Fv5V2LRS20,Q,C0,C1,C0,C2,C2,1,8,0,0,0
Fc1C2Fc4C3Fv5V2LRS21,P,C0,C0,C7,C0,C4,1,1,0,4,2
Fc1C2Fc4C3Fv5V2LRS23,R,C0,C2,C9,C0,C0,2,1,4,5,1
Fc1C2Fc4C3Fv5V2LRS24,P,C9,C0,C5,C0,C3,2,0,7,0,0
Fc1C2Fc4C3Fv5V2LRS25,P,C2,C9,C0,C0,C1,2,0,0,0,0
Fc1C2Fc4C3Fv5V2LRS26,R,C2,C2,C0,C3,C9,1,0,0,4,0
Fc1C2Fc4C3Fv5V2LRS28,S,C9,C4,C3,C5,C8,2,3,3,0,0
Fc1C2Fc4C3Fv5V2LRS29,P,C9,C0,C1,C0,C2,2,0,7,0,0
Fc1C2Fc4C3Fv5V2LRS30,P,C4,C0,C0,C3,C4,2,2,0,2,4
Fc1C2Fc4C3Fv5V2LRS31,S,C0,C0,C5,C4,C0,1,0,5,0,5
Fc1C2Fc4C3Fv5V3LPS7,S,C7,C0,C0,C2,C0,2,0,0,0,0
Fc1C2Fc4C3Fv5V3LPS8,P,C0,C5,C0,C2,C0,6,0,4,0,6
Fc1C2Fc4C3Fv5V3LPS9,Q,C0,C2,C2,C0,C0,3,0,0,0,0
Fc1C2Fc4C3Fv5V3LPS10,Q,C7,C2,C2,C4,C4,3,1,6,0,9
Fc1C2Fc4C3Fv5V3LPS11,Q,C7,C0,C1,C1,C0,3,0,0,0,0
Fc1C2Fc4C3Fv5V3LPS12,P,C9,C2,C0,C3,C7,2,0,0,5,0
Fc1C2Fc4C3Fv5V3LPS13,V,C2,C1,C9,C9,C1,3,0,0,5,0
Fc1C2Fc4C3Fv5V3LPS14,Q,C0,C0,C8,C8,C2,2,0,0,0,8
Fc1C2Fc4C3Fv5V3LPS15,R,C0,C3,C9,C9,C6,3,4,0,0,0
Fc1C2Fc4C3Fv5V3LPS17,S,C2,C0,C3,C0,C0,3,0,0,0,0
Fc1C2Fc4C3Fv5V3LPS18,P,C0,C4,C1,C2,C0,3,0,0,0,0
Fc1C2Fc4C3Fv5V3LPS19,P,C2,C9,C5,C0,C0,2,1,0,0,6
Fc1C2Fc4C3Fv5V3LPS20,R,C1,C0,C0,C2,C4,2,0,0,0,0
Fc1C2Fc4C3Fv5V3LPS21,S,C0,C0,C0,C0,C9,3,0,3,1,5
Fc1C2Fc4C3Fv5V3LPS22,V,C0,C2,C0,C1,C0,1,3,4,2,0
Fc1C2Fc4C3Fv5V3LPS23,Q,C1,C0,C0,C1,C6,2,0,0,0,9
Fc1C2Fc4C3Fv5V3LPS24,P,C0,C1,C4,C0,C8,2,0,6,0,0
Fc1C2Fc4C3Fv5V3LPS25,P,C1,C0,C0,C1,C0,3,0,0,0,6
Fc1C2Fc4C3Fv5V3LPS26,P,C0,C0,C4,C4,C0,2,0,3,0,5
Fc1C2Fc4C3Fv5V3LPS27,Q,C9,C9,C3,C3,C0,2,0,1,4,8
Fc1C2Fc4C3Fv5V3LPS28,T,C8,C0,C8,C3,C6,2,0,0,0,5
Fc1C2Fc4C3Fv5V3LPS29,Q,C1,C0,C1,C0,C4,3,4,0,0,0
Fc1C2Fc4C3Fv5V3LPS30,Q,C7,C0,C1,C2,C0,3,0,0,0,6
Fc1C2Fc4C3Fv5V3LPS31,R,C3,C9,C2,C0,C0,2,0,0,0,0
Fc1C2Fc4C3Fv6V1LQS7,Q,C0,C3,C9,C0,C0,6,3,3,5,0
Fc1C2Fc4C3Fv6V1LQS8,S,C3,C0,C0,C7,C0,0,0,4,0,6
Fc1C2Fc4C3Fv6V1LQS9,T,C3,C3,C3,C4,C6,6,0,0,5,7
Fc1C2Fc4C3Fv6V1LQS10,S,C1,C6,C2,C3,C0,6,1,0,0,0
Fc1C2Fc4C3Fv6V1LQS11,R,C3,C0,C0,C1,C2,0,1,6,0,0
Fc1C2Fc4C3Fv6V1LQS13,P,C0,C0,C4,C3,C0,0,1,0,0,0
Fc1C2Fc4C3Fv6V1LQS14,S,C0,C3,C3,C2,C2,0,0,0,0,0
Fc1C2Fc4C3Fv6V1LQS15,Q,C3,C7,C0,C3,C0,0,1,0,4,0
Fc1C2Fc4C3Fv6V1LQS16,R,C3,C0,C0,C2,C1,7,1,0,0,0
Fc1C2Fc4C3Fv6V1LQS17,P,C0,C1,C2,C1,C0,8,0,4,0,0
Fc1C2Fc4C3Fv6V1LQS18,P,C3,C1,C0,C0,C2,7,0,7,0,0
Fc1C2Fc4C3Fv6V1LQS19,R,C0,C1,C0,C0,C0,0,0,0,0,0
Fc1C2Fc4C3Fv6V1LQS20,Q,C0,C8,C2,C5,C3,0,0,0,0,0
Fc1C2Fc4C3Fv6V1LQS21,Q,C0,C1,C9,C0,C0,8,1,4,0,0
Fc1C2Fc4C3Fv6V1LQS22,V,C0,C0,C0,C1,C0,0,0,0,2,0
Fc1C2Fc4C3Fv6V1LQS23,P,C2,C0,C4,C0,C0,9,1,0,0,0
Fc1C2Fc4C3Fv6V1LQS24,R,C0,C0,C0,C2,C2,0,1,0,0,0
Fc1C2Fc4C3Fv6V1LQS25,V,C9,C6,C0,C6,C4,6,1,1,0,5
Fc1C2Fc4C3Fv6V1LQS26,P,C3,C0,C0,C0,C0,0,0,0,0,0
Fc1C2Fc4C3Fv6V1LQS27,P,C0,C1,C3,C1,C0,0,0,0,0,0
Fc1C2Fc4C3Fv6V1LQS28,S,C0,C3,C0,C4,C2,0,1,0,7,0
Fc1C2Fc4C3Fv6V1LQS29,R,C8,C4,C3,C3,C6,0,0,0,7,0
Fc1C2Fc4C3Fv6V1LQS30,V,C0,C0,C0,C1,C1,0,1,0,0,0
Fc1C2Fc4C3Fv6V1LQS31,P,C3,C0,C0,C8,C0,5,1,1,1,6
Fc1C2Fc4C3Fv6V2LPS7,P,C0,C0,C0,C2,C0,0,2,0,0,8
Fc1C2Fc4C3Fv6V2LPS8,R,C0,C0,C0,C0,C7,0,1,0,0,2
Fc1C2Fc4C3Fv6V2LPS9,R,C0,C4,C0,C1,C0,0,1,0,0,5
Fc1C2Fc4C3Fv6V2LPS10,V,C0,C0,C3,C0,C0,0,2,0,0,0
Fc1C2Fc4C3Fv6V2LPS11,P,C0,C4,C3,C6,C2,0,1,0,0,0
Fc1C2Fc4C3Fv6V2LPS13,P,C0,C0,C1,C1,C0,0,1,0,0,6
Fc1C2Fc4C3Fv6V2LPS14,P,C0,C3,C6,C0,C2,0,2,7,0,0
Fc1C2Fc4C3Fv6V2LPS15,Q,C0,C0,C0,C0,C0,0,1,0,8,0
Fc1C2Fc4C3Fv6V2LPS16,P,C1,C3,C3,C2,C0,0,1,0,0,0
Fc1C2Fc4C3Fv6V2LPS17,Q,C0,C9,C1,C0,C7,0,2,7,0,0
Fc1C2Fc4C3Fv6V2LPS18,P,C3,C2,C1,C0,C0,0,2,0,0,0
Fc1C2Fc4C3Fv6V2LPS19,S,C9,C0,C0,C0,C0,6,1,0,1,6
Fc1C2Fc4C3Fv6V2LPS20,V,C8,C9,C3,C0,C0,0,1,0,0,6
Fc1C2Fc4C3Fv6V2LPS21,V,C2,C2,C0,C7,C2,3,0,8,0,0
Fc1C2Fc4C3Fv6V2LPS22,R,C0,C6,C0,C0,C0,0,3,0,2,6
Fc1C2Fc4C3Fv6V2LPS23,Q,C0,C0,C0,C0,C1,4,0,6,1,0
Fc1C2Fc4C3Fv6V2LPS24,T,C0,C3,C0,C0,C1,0,0,6,0,6
Fc1C2Fc4C3Fv6V2LPS25,V,C0,C0,C4,C0,C0,5,1,0,0,4
Fc1C2Fc4C3Fv6V2LPS27,Q,C5,C4,C1,C0,C3,0,2,0,4,0
Fc1C2Fc4C3Fv6V2LPS28,V,C0,C8,C0,C0,C0,0,1,0,0,0
Fc1C2Fc4C3Fv6V2LPS29,P,C8,C1,C0,C1,C2,0,2,0,0,0
Fc1C2Fc4C3Fv6V2LPS30,Q,C2,C2,C0,C3,C0,0,2,0,0,7
Fc1C2Fc4C3Fv6V2LPS31,P,C0,C1,C3,C7,C0,4,1,0,0,0
Fc1C2Fc4C3Fv6V3LVS7,R,C2,C0,C9,C1,C5,0,3,8,0,0
Fc1C2Fc4C3Fv6V3LVS8,Q,C0,C0,C0,C1,C8,9,3,0,0,0
Fc1C2Fc4C3Fv6V3LVS9,T,C0,C0,C2,C8,C0,8,2,0,0,0
Fc1C2Fc4C3Fv6V3LVS10,V,C0,C0,C1,C0,C1,4,3,0,2,0
Fc1C2Fc4C3Fv6V3LVS11,S,C7,C0,C0,C0,C0,0,0,4,0,8
Fc1C2Fc4C3Fv6V3LVS12,R,C0,C0,C9,C1,C5,0,2,0,5,0
Fc1C2Fc4C3Fv6V3LVS13,P,C0,C0,C9,C0,C3,0,0,4,6,0
Fc1C2Fc4C3Fv6V3LVS14,S,C0,C1,C0,C0,C3,8,1,0,3,0
Fc1C2Fc4C3Fv6V3LVS15,R,C2,C0,C0,C9,C0,0,3,0,0,8
Fc1C2Fc4C3Fv6V3LVS16,T,C4,C0,C1,C3,C0,0,2,0,0,0
Fc1C2Fc4C3Fv6V3LVS17,R,C6,C1,C2,C0,C0,0,3,5,0,0
Fc1C2Fc4C3Fv6V3LVS18,S,C0,C0,C9,C2,C9,6,3,0,0,0
Fc1C2Fc4C3Fv6V3LVS19,Q,C1,C3,C1,C0,C6,0,3,0,0,0
Fc1C2Fc4C3Fv6V3LVS20,R,C2,C0,C3,C3,C8,0,3,0,0,0
Fc1C2Fc4C3Fv6V3LVS22,S,C0,C0,C1,C1,C9,0,2,0,0,0
Fc1C2Fc4C3Fv6V3LVS23,Q,C8,C7,C0,C0,C6,0,3,0,0,0
Fc1C2Fc4C3Fv6V3LVS25,P,C0,C0,C0,C0,C0,0,2,0,0,0
Fc1C2Fc4C3Fv6V3LVS26,S,C7,C1,C1,C0,C0,0,3,4,0,0
Fc1C2Fc4C3Fv6V3LVS27,R,C0,C0,C3,C0,C9,5,2,0,0,5
Fc1C2Fc4C3Fv6V3LVS28,P,C0,C9,C0,C2,C0,0,2,0,0,0
Fc1C2Fc4C3Fv6V3LVS29,P,C0,C1,C5,C1,C0,5,4,2,5,0
Fc1C2Fc4C3Fv6V3LVS30,S,C3,C1,C0,C8,C0,8,3,0,0,0
Fc1C2Fc4C3Fv6V3LVS31,R,C5,C9,C3,C1,C3,8,2,0,0,8
Fc1C2Fc4C3Fv7V1LPS9,S,C0,C2,C6,C1,C0,0,5,0,0,0
Fc1C2Fc4C3Fv7V1LPS10,R,C3,C0,C8,C0,C0,0,0,0,0,0
Fc1C2Fc4C3Fv7V1LPS11,P,C0,C0,C0,C0,C3,0,8,0,0,0
Fc1C2Fc4C3Fv7V1LPS12,P,C0,C4,C0,C8,C5,0,9,1,8,0
Fc1C2Fc4C3Fv7V1LPS13,Q,C0,C0,C9,C2,C0,0,0,1,0,0
Fc1C2Fc4C3Fv7V1LPS14,Q,C0,C0,C3,C1,C1,0,0,0,0,8
Fc1C2Fc4C3Fv7V1LPS15,R,C1,C3,C0,C0,C3,0,0,0,0,4
Fc1C2Fc4C3Fv7V1LPS16,P,C0,C0,C3,C0,C0,0,0,1,0,9
Fc1C2Fc4C3Fv7V1LPS17,Q,C0,C0,C0,C1,C3,0,0,1,0,0
Fc1C2Fc4C3Fv7V1LPS19,V,C9,C9,C0,C0,C0,0,0,0,5,4
Fc1C2Fc4C3Fv7V1LPS20,Q,C0,C1,C1,C0,C0,5,7,1,3,0
Fc1C2Fc4C3Fv7V1LPS21,R,C3,C1,C7,C1,C4,3,0,0,0,0
Fc1C2Fc4C3Fv7V1LPS22,R,C2,C5,C6,C6,C0,0,0,0,0,3
Fc1C2Fc4C3Fv7V1LPS23,P,C3,C0,C1,C0,C6,4,0,1,0,0
Fc1C2Fc4C3Fv7V1LPS24,R,C0,C0,C9,C1,C3,0,4,0,4,0
Fc1C2Fc4C3Fv7V1LPS25,S,C7,C0,C1,C2,C1,0,0,1,0,7
Fc1C2Fc4C3Fv7V1LPS27,Q,C2,C3,C3,C1,C0,0,0,1,0,0
Fc1C2Fc4C3Fv7V1LPS28,P,C0,C2,C1,C0,C7,4,0,0,0,0
Fc1C2Fc4C3Fv7V1LPS29,P,C0,C1,C8,C2,C0,0,1,1,7,5
Fc1C2Fc4C3Fv7V1LPS30,P,C0,C0,C0,C0,C0,0,0,0,3,3
Fc1C2Fc4C3Fv7V1LPS31,R,C5,C0,C0,C8,C0,0,1,0,6,0
Fc1C2Fc4C3Fv7V2LQS7,V,C3,C0,C8,C0,C1,7,3,2,0,4
Fc1C2Fc4C3Fv7V2LQS8,R,C3,C3,C6,C2,C0,0,0,1,0,0
Fc1C2Fc4C3Fv7V2LQS9,Q,C1,C2,C0,C8,C1,0,0,1,0,0
Fc1C2Fc4C3Fv7V2LQS10,Q,C1,C0,C1,C2,C0,0,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS11,S,C2,C0,C9,C2,C3,0,1,2,5,9
Fc1C2Fc4C3Fv7V2LQS12,P,C0,C0,C2,C1,C3,0,0,1,0,9
Fc1C2Fc4C3Fv7V2LQS13,P,C2,C2,C0,C4,C2,0,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS14,P,C0,C0,C1,C1,C0,0,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS15,R,C3,C1,C4,C3,C2,0,0,1,0,3
Fc1C2Fc4C3Fv7V2LQS16,P,C0,C0,C0,C0,C3,0,0,2,0,8
Fc1C2Fc4C3Fv7V2LQS17,S,C0,C0,C8,C2,C7,0,0,1,0,0
Fc1C2Fc4C3Fv7V2LQS18,R,C0,C4,C0,C3,C2,0,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS19,P,C2,C0,C0,C0,C9,0,0,1,8,0
Fc1C2Fc4C3Fv7V2LQS20,R,C0,C0,C0,C0,C2,4,1,0,5,5
Fc1C2Fc4C3Fv7V2LQS22,S,C4,C1,C0,C0,C0,0,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS23,T,C0,C3,C2,C0,C0,0,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS24,V,C7,C2,C3,C5,C3,0,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS25,V,C0,C2,C0,C0,C2,0,4,1,0,8
Fc1C2Fc4C3Fv7V2LQS26,R,C4,C3,C0,C0,C0,0,7,2,4,2
Fc1C2Fc4C3Fv7V2LQS27,R,C0,C3,C1,C4,C5,8,0,1,0,0
Fc1C2Fc4C3Fv7V2LQS28,P,C0,C6,C2,C1,C0,0,0,1,0,8
Fc1C2Fc4C3Fv7V2LQS29,Q,C2,C2,C4,C0,C0,5,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS30,T,C0,C0,C0,C1,C0,0,0,2,0,0
Fc1C2Fc4C3Fv7V2LQS31,P,C4,C0,C2,C9,C0,2,2,1,1,4
Fc1C2Fc4C3Fv7V3LRS7,S,C1,C9,C0,C2,C3,0,0,2,0,0
Fc1C2Fc4C3Fv7V3LRS8,Q,C6,C0,C4,C0,C7,0,0,3,0,0
Fc1C2Fc4C3Fv7V3LRS9,S,C6,C3,C1,C3,C0,0,0,2,6,0
Fc1C2Fc4C3Fv7V3LRS10,Q,C0,C0,C2,C3,C2,0,0,2,0,5
Fc1C2Fc4C3Fv7V3LRS11,P,C0,C7,C0,C0,C0,0,0,3,0,0
Fc1C2Fc4C3Fv7V3LRS13,V,C0,C0,C2,C1,C0,3,4,5,0,0
Fc1C2Fc4C3Fv7V3LRS14,P,C0,C0,C0,C2,C1,8,10,2,0,0
Fc1C2Fc4C3Fv7V3LRS15,R,C1,C0,C0,C2,C0,4,8,2,0,0
Fc1C2Fc4C3Fv7V3LRS16,S,C0,C3,C0,C0,C0,0,9,3,0,0
Fc1C2Fc4C3Fv7V3LRS17,S,C3,C0,C0,C0,C0,0,0,3,0,0
Fc1C2Fc4C3Fv7V3LRS19,P,C0,C0,C2,C4,C4,0,0,3,0,6
