sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fc5,Fv6,Fv7,Fv8,Fv9,Fv10,Fv11
Fc1C2Fv11V1LSS10,S,C0,C6,C3,C2,C3,C8,0,4,0,3,0,0
Fc1C2Fv11V1LSS11,P,C0,C0,C7,C6,C5,C0,0,0,8,2,0,1
Fc1C2Fv11V1LSS13,S,C2,C0,C0,C3,C2,C0,0,3,5,0,0,2
Fc1C2Fv11V1LSS15,T,C1,C0,C2,C4,C0,C0,6,3,5,0,0,0
Fc1C2Fv11V2LPS4,R,C7,C0,C4,C5,C7,C0,6,1,5,0,4,1
Fc1C2Fv11V2LPS5,S,C0,C8,C0,C1,C0,C1,7,2,6,5,3,1
Fc1C2Fv11V2LPS6,R,C3,C6,C3,C3,C0,C4,6,2,8,5,6,1
Fc1C2Fv11V2LPS7,P,C0,C1,C5,C0,C0,C0,6,0,7,2,1,2
Fc1C2Fv11V2LPS8,R,C8,C0,C9,C0,C0,C0,0,0,2,7,0,3
Fc1C2Fv11V2LPS9,V,C0,C7,C3,C0,C0,C2,3,0,2,3,6,2
Fc1C2Fv11V2LPS10,V,C0,C9,C0,C0,C0,C1,0,5,0,0,0,1
Fc1C2Fv11V2LPS11,P,C3,C0,C0,C7,C0,C3,2,8,0,5,6,1
Fc1C2Fv11V2LPS12,P,C0,C7,C8,C3,C4,C2,3,1,0,2,3,1
Fc1C2Fv11V2LPS13,V,C3,C2,C0,C9,C3,C0,2,1,0,0,5,2
Fc1C2Fv11V2LPS14,V,C2,C6,C0,C0,C0,C8,0,7,0,0,0,2
Fc1C2Fv11V2LPS15,P,C0,C0,C1,C2,C4,C0,1,4,0,5,6,2
Fc1C2Fv11V3LQS3,T,C6,C2,C0,C9,C4,C0,0,5,6,0,5,1
Fc1C2Fv11V3LQS5,P,C4,C8,C0,C9,C0,C2,1,0,7,2,6,3
Fc1C2Fv11V3LQS6,Q,C3,C0,C0,C0,C2,C0,0,5,2,0,0,3
Fc1C2Fv11V3LQS7,R,C3,C0,C2,C0,C1,C1,0,0,0,8,5,3
Fc1C2Fv11V3LQS8,P,C2,C3,C1,C0,C0,C3,0,0,0,0,0,3
Fc1C2Fv11V3LQS9,P,C3,C9,C8,C0,C9,C9,4,4,1,3,6,2
Fc1C2Fv11V3LQS10,R,C0,C1,C7,C3,C2,C9,0,2,0,2,7,2
Fc1C2Fv11V3LQS11,P,C3,C0,C9,C7,C9,C4,0,4,0,4,5,3
Fc1C2Fv11V3LQS12,Q,C0,C0,C5,C9,C9,C6,0,5,0,2,1,3
Fc1C2Fv11V3LQS15,R,C0,C0,C6,C0,C0,C3,4,0,0,0,9,1
Fc1C3LRS3,Q,C3,C0,C3,C0,C0,C3,1,0,1,0,2,0
Fc1C3LRS5,V,C0,C9,C3,C0,C0,C0,0,0,0,4,4,0
Fc1C3LRS7,R,C0,C9,C0,C0,C0,C4,4,0,5,0,0,2
Fc1C3LRS8,S,C0,C0,C1,C4,C6,C0,5,0,8,1,0,3
Fc1C3LRS9,Q,C9,C0,C0,C0,C9,C0,4,2,0,5,6,0
Fc1C3LRS10,Q,C0,C0,C0,C0,C1,C3,0,0,1,7,0,8
Fc1C3LRS11,S,C0,C3,C1,C1,C7,C2,8,0,0,0,0,0
Fc1C3LRS12,Q,C0,C1,C4,C2,C0,C0,0,0,0,3,0,0
Fc1C3LRS13,V,C0,C0,C4,C7,C3,C3,0,0,2,4,8,6
Fc1C3LRS14,P,C9,C0,C0,C7,C3,C8,0,5,0,4,4,0
Fc1C3LRS15,S,C1,C0,C2,C9,C7,C3,7,0,4,0,0,0
Fc1C3Fc2C1LPS3,P,C7,C0,C0,C2,C6,C3,4,1,2,7,4,0
Fc1C3Fc2C1LPS4,Q,C1,C1,C0,C2,C0,C0,0,6,0,0,0,0
Fc1C3Fc2C1LPS5,P,C7,C1,C0,C8,C0,C0,0,2,0,4,2,4
Fc1C3Fc2C1LPS6,V,C3,C2,C1,C0,C0,C1,0,0,0,0,0,0
Fc1C3Fc2C1LPS7,Q,C2,C0,C4,C2,C0,C0,5,0,4,0,0,3
Fc1C3Fc2C1LPS8,R,C0,C3,C0,C7,C3,C0,0,3,0,0,5,1
Fc1C3Fc2C1LPS9,Q,C0,C0,C3,C8,C0,C0,5,1,0,0,0,4
Fc1C3Fc2C1LPS10,T,C0,C0,C0,C3,C0,C3,0,0,0,0,0,0
Fc1C3Fc2C1LPS11,V,C1,C0,C8,C2,C5,C2,0,0,0,0,0,6
Fc1C3Fc2C1LPS12,R,C2,C3,C7,C0,C0,C0,5,0,3,0,3,6
Fc1C3Fc2C1LPS13,Q,C7,C3,C0,C8,C7,C0,4,3,7,5,1,0
Fc1C3Fc2C1LPS15,V,C1,C6,C6,C4,C0,C0,0,0,0,0,0,6
Fc1C3Fc2C1Fc3C1LQS3,P,C5,C3,C6,C0,C0,C0,5,1,6,0,0,5
Fc1C3Fc2C1Fc3C1LQS4,V,C0,C2,C0,C3,C0,C2,4,0,3,0,0,7
Fc1C3Fc2C1Fc3C1LQS5,Q,C0,C3,C4,C0,C8,C9,0,4,1,7,0,3
Fc1C3Fc2C1Fc3C1LQS6,P,C2,C0,C0,C7,C0,C0,0,0,0,0,3,0
Fc1C3Fc2C1Fc3C1LQS7,R,C1,C3,C2,C1,C9,C8,0,0,0,0,0,0
Fc1C3Fc2C1Fc3C1LQS8,P,C0,C0,C0,C2,C0,C0,2,0,5,7,1,0
Fc1C3Fc2C1Fc3C1LQS10,Q,C0,C2,C9,C7,C0,C0,5,3,2,0,0,4
Fc1C3Fc2C1Fc3C1LQS11,V,C0,C3,C0,C3,C0,C7,2,4,4,0,0,0
Fc1C3Fc2C1Fc3C1LQS12,S,C0,C1,C1,C0,C2,C0,0,5,0,2,5,0
Fc1C3Fc2C1Fc3C1LQS13,Q,C0,C1,C0,C0,C1,C2,5,0,4,0,0,0
Fc1C3Fc2C1Fc3C1LQS14,R,C3,C0,C4,C2,C0,C3,0,0,0,0,0,0
Fc1C3Fc2C1Fc3C2LPS3,S,C0,C8,C6,C8,C0,C6,0,4,0,0,0,5
Fc1C3Fc2C1Fc3C2LPS4,R,C2,C2,C0,C0,C0,C2,3,7,6,0,0,0
Fc1C3Fc2C1Fc3C2LPS5,Q,C7,C0,C4,C1,C1,C0,0,1,4,1,0,6
Fc1C3Fc2C1Fc3C2LPS6,R,C2,C8,C3,C1,C4,C0,0,8,0,8,6,4
Fc1C3Fc2C1Fc3C2LPS7,S,C8,C9,C1,C0,C4,C1,0,0,0,0,0,0
Fc1C3Fc2C1Fc3C2LPS8,P,C8,C0,C0,C9,C7,C2,8,0,0,0,4,0
Fc1C3Fc2C1Fc3C2LPS9,P,C0,C0,C5,C3,C1,C5,0,0,2,5,0,7
Fc1C3Fc2C1Fc3C2LPS11,P,C0,C0,C1,C1,C0,C0,0,0,0,0,6,0
Fc1C3Fc2C1Fc3C2LPS12,V,C5,C0,C8,C0,C1,C1,0,0,3,0,0,5
Fc1C3Fc2C1Fc3C2LPS13,P,C0,C9,C3,C0,C1,C8,3,0,0,0,1,8
Fc1C3Fc2C1Fc3C2LPS14,R,C9,C2,C4,C0,C9,C1,0,0,6,5,5,0
Fc1C3Fc2C1Fc3C2LPS15,R,C0,C2,C0,C1,C0,C0,4,0,7,0,2,1
Fc1C3Fc2C1Fc3C3LVS3,R,C3,C2,C2,C0,C1,C8,6,0,2,0,0,6
Fc1C3Fc2C1Fc3C3LVS4,T,C0,C3,C0,C2,C0,C2,3,0,2,0,0,4
Fc1C3Fc2C1Fc3C3LVS5,R,C4,C7,C0,C1,C0,C2,6,4,0,5,5,0
Fc1C3Fc2C1Fc3C3LVS6,Q,C1,C2,C8,C1,C2,C7,0,0,0,0,0,0
Fc1C3Fc2C1Fc3C3LVS7,T,C1,C1,C5,C4,C0,C9,0,0,0,6,6,0
Fc1C3Fc2C1Fc3C3LVS8,P,C1,C1,C8,C5,C3,C8,0,6,0,0,0,0
Fc1C3Fc2C1Fc3C3LVS9,R,C6,C0,C0,C2,C2,C1,7,0,0,2,6,0
Fc1C3Fc2C1Fc3C3LVS10,P,C9,C2,C3,C2,C1,C0,5,0,0,0,0,0
Fc1C3Fc2C1Fc3C3LVS11,Q,C0,C1,C3,C8,C1,C2,0,1,1,0,2,5
Fc1C3Fc2C1Fc3C3LVS12,R,C1,C0,C0,C5,C5,C1,0,0,0,3,0,4
Fc1C3Fc2C1Fc3C3LVS13,Q,C0,C2,C0,C9,C8,C1,4,0,6,0,1,0
Fc1C3Fc2C1Fc3C3LVS14,S,C3,C3,C0,C0,C0,C6,0,0,5,4,1,0
Fc1C3Fc2C1Fc3C3LVS15,S,C0,C0,C9,C0,C3,C4,0,0,0,0,2,3
Fc1C3Fc2C1Fc4C1LPS3,P,C6,C7,C0,C9,C6,C1,0,5,0,5,1,1
Fc1C3Fc2C1Fc4C1LPS4,S,C0,C6,C6,C2,C0,C0,1,2,3,4,2,7
Fc1C3Fc2C1Fc4C1LPS5,R,C0,C0,C2,C9,C2,C1,0,0,0,0,0,0
Fc1C3Fc2C1Fc4C1LPS6,V,C1,C0,C0,C3,C0,C5,3,0,5,0,0,0
Fc1C3Fc2C1Fc4C1LPS7,Q,C0,C3,C1,C6,C3,C0,5,0,0,0,0,6
Fc1C3Fc2C1Fc4C1LPS9,V,C0,C9,C0,C3,C8,C9,4,0,0,0,7,0
Fc1C3Fc2C1Fc4C1LPS10,V,C2,C2,C0,C2,C6,C1,0,2,5,0,0,0
Fc1C3Fc2C1Fc4C1LPS11,Q,C8,C2,C0,C4,C9,C5,5,0,1,0,0,8
Fc1C3Fc2C1Fc4C1LPS12,R,C0,C3,C1,C0,C0,C2,3,0,4,0,0,0
Fc1C3Fc2C1Fc4C1LPS13,P,C1,C3,C1,C0,C1,C0,1,3,1,7,8,0
Fc1C3Fc2C1Fc4C1LPS14,S,C0,C0,C0,C0,C3,C0,4,7,3,3,3,0
Fc1C3Fc2C1Fc4C1LPS15,Q,C4,C5,C2,C0,C3,C0,0,0,0,0,0,0
Fc1C3Fc2C1Fc4C2LQS3,V,C0,C1,C2,C0,C6,C0,1,3,0,2,2,0
Fc1C3Fc2C1Fc4C2LQS4,P,C1,C3,C1,C3,C0,C9,0,2,2,0,1,5
Fc1C3Fc2C1Fc4C2LQS5,S,C1,C0,C0,C3,C6,C0,0,0,3,0,0,0
Fc1C3Fc2C1Fc4C2LQS6,Q,C9,C7,C1,C1,C0,C0,0,0,4,0,2,5
Fc1C3Fc2C1Fc4C2LQS7,P,C1,C2,C3,C1,C0,C1,1,0,5,4,4,0
Fc1C3Fc2C1Fc4C2LQS8,R,C2,C4,C0,C0,C2,C5,5,9,0,0,0,0
Fc1C3Fc2C1Fc4C2LQS9,R,C5,C1,C4,C0,C0,C4,8,7,6,0,8,4
Fc1C3Fc2C1Fc4C2LQS10,Q,C1,C8,C3,C4,C3,C2,0,0,6,0,0,0
Fc1C3Fc2C1Fc4C2LQS11,S,C1,C3,C8,C4,C1,C0,6,6,0,0,0,0
Fc1C3Fc2C1Fc4C2LQS12,S,C6,C1,C1,C0,C4,C1,0,3,0,3,7,1
Fc1C3Fc2C1Fc4C2LQS15,V,C0,C0,C0,C6,C0,C1,0,4,0,1,5,0
Fc1C3Fc2C1Fc4C3LRS3,T,C0,C3,C2,C3,C0,C0,1,0,2,2,2,3
Fc1C3Fc2C1Fc4C3LRS4,R,C6,C1,C4,C1,C1,C0,7,0,4,0,1,0
Fc1C3Fc2C1Fc4C3LRS5,R,C0,C9,C3,C0,C0,C6,2,0,9,0,4,0
Fc1C3Fc2C1Fc4C3LRS6,R,C0,C7,C1,C8,C2,C1,0,4,0,0,2,2
Fc1C3Fc2C1Fc4C3LRS7,P,C7,C0,C2,C0,C3,C2,0,0,0,0,0,0
Fc1C3Fc2C1Fc4C3LRS8,P,C0,C1,C2,C3,C2,C6,0,0,2,3,1,4
Fc1C3Fc2C1Fc4C3LRS9,V,C6,C0,C1,C0,C0,C0,0,2,0,6,3,4
Fc1C3Fc2C1Fc4C3LRS11,P,C1,C0,C0,C0,C0,C2,0,4,0,1,1,8
Fc1C3Fc2C1Fc4C3LRS12,V,C1,C0,C0,C0,C0,C0,1,0,5,2,0,2
Fc1C3Fc2C1Fc4C3LRS13,Q,C0,C0,C0,C1,C0,C9,0,0,5,2,6,4
Fc1C3Fc2C1Fc4C3LRS14,P,C2,C5,C2,C7,C6,C6,0,5,4,0,4,1
Fc1C3Fc2C1Fc4C3LRS15,R,C1,C2,C2,C2,C3,C4,0,0,2,6,4,0
Fc1C3Fc2C1Fc5C1LSS3,R,C3,C0,C0,C4,C6,C1,6,2,6,0,1,2
Fc1C3Fc2C1Fc5C1LSS4,T,C3,C1,C4,C4,C0,C2,1,0,5,6,2,0
Fc1C3Fc2C1Fc5C1LSS5,Q,C0,C2,C4,C1,C7,C6,0,3,4,0,0,3
Fc1C3Fc2C1Fc5C1LSS6,Q,C6,C6,C0,C0,C9,C3,3,0,1,0,0,4
Fc1C3Fc2C1Fc5C1LSS7,S,C2,C7,C0,C0,C0,C0,0,3,0,3,3,0
Fc1C3Fc2C1Fc5C1LSS8,V,C4,C0,C5,C1,C2,C0,0,0,0,0,0,0
Fc1C3Fc2C1Fc5C1LSS9,R,C8,C4,C9,C0,C4,C1,3,7,0,0,0,0
Fc1C3Fc2C1Fc5C1LSS10,Q,C0,C0,C5,C1,C5,C2,0,5,0,6,1,0
Fc1C3Fc2C1Fc5C1LSS11,R,C1,C0,C3,C7,C2,C0,1,0,0,0,5,5
Fc1C3Fc2C1Fc5C1LSS12,Q,C0,C0,C7,C3,C0,C6,5,1,0,10,7,0
Fc1C3Fc2C1Fc5C1LSS13,P,C3,C8,C5,C3,C4,C0,2,4,0,1,7,8
Fc1C3Fc2C1Fc5C1LSS14,R,C4,C0,C1,C2,C0,C3,0,6,1,6,7,1
Fc1C3Fc2C1Fc5C1LSS15,S,C7,C3,C0,C7,C6,C0,1,6,0,0,0,0
Fc1C3Fc2C1Fc5C2LTS3,R,C3,C9,C7,C0,C1,C5,0,7,1,2,7,4
Fc1C3Fc2C1Fc5C2LTS4,P,C0,C0,C2,C3,C0,C0,0,0,0,0,0,0
Fc1C3Fc2C1Fc5C2LTS5,P,C4,C3,C4,C3,C0,C0,4,0,0,0,0,0
Fc1C3Fc2C1Fc5C2LTS6,T,C4,C1,C6,C1,C2,C0,5,3,4,0,2,0
Fc1C3Fc2C1Fc5C2LTS7,P,C9,C5,C0,C0,C2,C0,4,1,0,0,2,0
Fc1C3Fc2C1Fc5C2LTS8,R,C5,C0,C1,C7,C8,C7,4,2,4,7,6,0
Fc1C3Fc2C1Fc5C2LTS9,R,C3,C0,C0,C5,C7,C2,5,0,0,0,0,6
Fc1C3Fc2C1Fc5C2LTS10,P,C2,C1,C3,C2,C9,C2,0,0,0,0,0,0
Fc1C3Fc2C1Fc5C2LTS11,R,C3,C3,C0,C1,C1,C8,0,0,0,4,3,0
Fc1C3Fc2C1Fc5C2LTS12,Q,C1,C6,C7,C7,C7,C0,4,3,4,4,1,0
Fc1C3Fc2C1Fc5C2LTS13,T,C2,C0,C3,C8,C3,C0,0,0,0,0,0,7
Fc1C3Fc2C1Fc5C2LTS14,P,C0,C2,C0,C0,C3,C2,0,2,3,4,1,6
Fc1C3Fc2C1Fc5C2LTS15,V,C6,C2,C4,C7,C0,C0,1,0,3,0,6,3
Fc1C3Fc2C1Fc5C3LVS3,V,C0,C2,C0,C2,C0,C0,0,4,7,7,4,8
Fc1C3Fc2C1Fc5C3LVS4,Q,C3,C0,C3,C2,C2,C2,5,0,0,0,0,0
Fc1C3Fc2C1Fc5C3LVS5,P,C8,C2,C2,C3,C0,C0,0,3,0,0,3,4
Fc1C3Fc2C1Fc5C3LVS6,R,C0,C2,C0,C1,C0,C6,0,5,0,0,2,5
Fc1C3Fc2C1Fc5C3LVS7,S,C0,C8,C0,C8,C0,C0,0,0,0,6,5,0
Fc1C3Fc2C1Fc5C3LVS8,P,C1,C0,C1,C4,C1,C3,0,5,0,0,5,0
Fc1C3Fc2C1Fc5C3LVS9,V,C3,C0,C6,C0,C0,C0,4,0,0,0,5,0
Fc1C3Fc2C1Fc5C3LVS10,Q,C6,C0,C0,C0,C3,C2,0,2,8,8,0,2
Fc1C3Fc2C1Fc5C3LVS11,P,C3,C1,C3,C3,C0,C7,0,6,0,4,1,0
Fc1C3Fc2C1Fc5C3LVS12,Q,C0,C8,C3,C2,C0,C1,0,0,0,6,4,0
Fc1C3Fc2C1Fc5C3LVS13,P,C5,C0,C9,C0,C2,C4,5,1,3,4,3,2
Fc1C3Fc2C1Fc5C3LVS14,V,C8,C0,C0,C5,C0,C7,0,0,0,7,2,5
Fc1C3Fc2C1Fc5C3LVS15,P,C3,C3,C0,C1,C6,C3,0,2,4,0,2,0
Fc1C3Fc2C1Fv6V1LPS3,Q,C0,C8,C0,C0,C6,C0,1,2,0,7,0,0
Fc1C3Fc2C1Fv6V1LPS4,T,C0,C0,C0,C0,C3,C6,0,0,1,7,3,2
Fc1C3Fc2C1Fv6V1LPS5,Q,C1,C4,C1,C9,C8,C5,1,0,6,0,0,6
Fc1C3Fc2C1Fv6V1LPS6,V,C0,C0,C2,C9,C3,C0,0,0,0,0,3,4
Fc1C3Fc2C1Fv6V1LPS7,S,C0,C3,C1,C8,C0,C0,0,1,2,6,1,0
Fc1C3Fc2C1Fv6V1LPS8,R,C6,C1,C7,C0,C1,C0,1,0,0,0,0,0
Fc1C3Fc2C1Fv6V1LPS9,S,C4,C0,C0,C0,C0,C6,0,0,0,0,0,8
Fc1C3Fc2C1Fv6V1LPS10,Q,C9,C9,C3,C1,C0,C5,1,9,0,0,5,0
Fc1C3Fc2C1Fv6V1LPS11,P,C0,C7,C7,C0,C8,C0,0,0,0,0,0,0
Fc1C3Fc2C1Fv6V1LPS12,R,C2,C3,C2,C3,C0,C0,0,8,0,7,7,1
Fc1C3Fc2C1Fv6V1LPS13,R,C0,C5,C0,C0,C0,C4,1,0,3,0,2,6
Fc1C3Fc2C1Fv6V1LPS14,P,C9,C0,C0,C0,C3,C5,1,4,2,6,1,4
Fc1C3Fc2C1Fv6V1LPS15,P,C3,C0,C0,C4,C2,C9,0,0,0,5,1,2
Fc1C3Fc2C1Fv6V2LQS3,T,C5,C0,C0,C0,C2,C2,1,4,7,5,9,0
Fc1C3Fc2C1Fv6V2LQS4,R,C3,C7,C6,C2,C0,C1,1,0,0,0,0,0
Fc1C3Fc2C1Fv6V2LQS5,R,C0,C6,C4,C0,C0,C2,6,2,3,2,6,0
Fc1C3Fc2C1Fv6V2LQS6,P,C6,C2,C0,C0,C0,C0,2,0,0,0,0,0
Fc1C3Fc2C1Fv6V2LQS8,P,C0,C9,C7,C3,C7,C5,1,0,0,0,0,0
Fc1C3Fc2C1Fv6V2LQS9,Q,C7,C1,C7,C0,C0,C7,0,4,1,2,2,4
Fc1C3Fc2C1Fv6V2LQS10,S,C0,C4,C0,C0,C6,C1,2,0,7,2,1,0
Fc1C3Fc2C1Fv6V2LQS11,Q,C4,C6,C0,C4,C2,C0,1,0,0,0,0,8
Fc1C3Fc2C1Fv6V2LQS12,Q,C5,C2,C2,C3,C3,C7,0,0,0,6,5,1
Fc1C3Fc2C1Fv6V2LQS13,S,C3,C3,C5,C0,C0,C8,2,0,4,0,0,8
Fc1C3Fc2C1Fv6V2LQS14,R,C0,C0,C1,C0,C8,C0,0,3,2,5,4,3
Fc1C3Fc2C1Fv6V2LQS15,P,C4,C4,C9,C0,C8,C7,0,1,3,1,1,3
Fc1C3Fc2C1Fv6V3LRS3,P,C0,C2,C0,C0,C3,C2,3,0,0,0,0,0
Fc1C3Fc2C1Fv6V3LRS4,S,C0,C3,C0,C0,C6,C7,3,6,1,1,5,6
Fc1C3Fc2C1Fv6V3LRS5,P,C1,C0,C0,C0,C0,C7,3,2,1,0,0,7
Fc1C3Fc2C1Fv6V3LRS6,Q,C0,C0,C0,C0,C0,C0,3,5,0,0,1,0
Fc1C3Fc2C1Fv6V3LRS7,S,C3,C5,C0,C0,C9,C0,3,0,1,0,3,1
Fc1C3Fc2C1Fv6V3LRS8,V,C2,C0,C4,C6,C0,C0,3,4,0,0,0,0
Fc1C3Fc2C1Fv6V3LRS9,Q,C0,C0,C0,C8,C0,C3,2,5,0,0,0,0
Fc1C3Fc2C1Fv6V3LRS10,Q,C5,C1,C1,C9,C0,C7,3,0,0,0,1,0
Fc1C3Fc2C1Fv6V3LRS11,Q,C4,C2,C0,C3,C0,C0,4,4,0,10,6,0
Fc1C3Fc2C1Fv6V3LRS12,Q,C5,C9,C0,C1,C1,C3,4,0,7,1,0,6
Fc1C3Fc2C1Fv6V3LRS13,R,C1,C7,C8,C0,C5,C0,0,1,5,0,0,2
Fc1C3Fc2C1Fv6V3LRS14,R,C0,C3,C8,C6,C0,C0,3,1,3,3,0,4
Fc1C3Fc2C1Fv6V3LRS15,Q,C3,C1,C1,C2,C2,C0,3,0,4,0,1,6
Fc1C3Fc2C1Fv7V1LSS3,R,C8,C0,C3,C5,C0,C0,0,3,0,1,1,3
Fc1C3Fc2C1Fv7V1LSS4,V,C0,C1,C0,C0,C8,C0,7,1,0,6,0,0
Fc1C3Fc2C1Fv7V1LSS5,V,C3,C0,C0,C0,C4,C2,5,1,0,0,0,0
Fc1C3Fc2C1Fv7V1LSS6,P,C2,C0,C9,C5,C9,C0,0,0,0,0,0,0
Fc1C3Fc2C1Fv7V1LSS7,Q,C8,C2,C0,C2,C7,C3,0,1,6,0,1,0
Fc1C3Fc2C1Fv7V1LSS8,P,C0,C1,C3,C0,C0,C2,0,1,4,0,4,3
Fc1C3Fc2C1Fv7V1LSS9,R,C6,C2,C0,C3,C0,C0,0,1,0,0,0,0
Fc1C3Fc2C1Fv7V1LSS10,P,C1,C0,C0,C3,C0,C3,7,4,4,1,5,0
Fc1C3Fc2C1Fv7V1LSS11,R,C1,C3,C0,C0,C1,C0,0,3,1,7,3,4
Fc1C3Fc2C1Fv7V1LSS12,R,C6,C7,C0,C1,C5,C3,7,2,0,0,0,0
Fc1C3Fc2C1Fv7V1LSS13,Q,C0,C0,C0,C3,C8,C8,1,1,7,0,0,8
Fc1C3Fc2C1Fv7V1LSS14,R,C0,C1,C0,C0,C0,C5,5,2,6,3,6,0
Fc1C3Fc2C1Fv7V1LSS15,P,C0,C0,C6,C3,C2,C3,1,0,9,1,0,4
Fc1C3Fc2C1Fv7V2LTS3,P,C2,C7,C6,C0,C0,C4,0,2,1,5,2,4
Fc1C3Fc2C1Fv7V2LTS4,Q,C0,C0,C0,C0,C4,C7,3,2,3,2,6,0
Fc1C3Fc2C1Fv7V2LTS6,P,C0,C0,C1,C0,C0,C2,3,2,2,0,0,3
Fc1C3Fc2C1Fv7V2LTS7,Q,C4,C7,C0,C0,C0,C0,0,1,0,0,8,0
Fc1C3Fc2C1Fv7V2LTS8,R,C0,C0,C0,C0,C0,C0,7,1,0,1,5,0
Fc1C3Fc2C1Fv7V2LTS9,Q,C7,C3,C4,C3,C0,C9,0,1,0,0,6,9
Fc1C3Fc2C1Fv7V2LTS10,P,C0,C0,C3,C5,C5,C0,0,1,0,5,0,4
Fc1C3Fc2C1Fv7V2LTS11,T,C5,C1,C2,C7,C2,C2,8,1,2,4,2,5
Fc1C3Fc2C1Fv7V2LTS12,P,C5,C0,C8,C3,C0,C2,0,2,0,0,0,0
Fc1C3Fc2C1Fv7V2LTS13,R,C6,C7,C7,C0,C2,C6,0,1,0,4,0,0
Fc1C3Fc2C1Fv7V2LTS14,R,C0,C4,C1,C6,C0,C1,3,1,0,0,5,0
Fc1C3Fc2C1Fv7V3LPS3,V,C0,C0,C0,C7,C0,C0,8,2,2,0,0,0
Fc1C3Fc2C1Fv7V3LPS4,T,C0,C7,C1,C4,C0,C3,6,2,0,3,1,0
Fc1C3Fc2C1Fv7V3LPS5,T,C2,C1,C0,C0,C0,C0,4,3,0,3,1,0
Fc1C3Fc2C1Fv7V3LPS6,Q,C0,C7,C0,C8,C0,C5,0,1,5,0,1,9
Fc1C3Fc2C1Fv7V3LPS7,S,C0,C4,C0,C0,C7,C2,0,3,0,5,3,0
Fc1C3Fc2C1Fv7V3LPS8,Q,C0,C4,C0,C3,C9,C9,0,2,0,2,3,0
Fc1C3Fc2C1Fv7V3LPS9,R,C7,C0,C2,C0,C0,C1,1,3,7,0,0,6
Fc1C3Fc2C1Fv7V3LPS11,Q,C0,C3,C3,C0,C0,C6,0,3,0,1,4,0
Fc1C3Fc2C1Fv7V3LPS12,S,C0,C5,C0,C3,C1,C4,0,3,0,0,5,0
Fc1C3Fc2C1Fv7V3LPS13,P,C3,C0,C3,C6,C0,C5,0,3,4,5,2,0
Fc1C3Fc2C1Fv7V3LPS14,P,C6,C3,C7,C8,C0,C0,0,3,0,2,5,0
Fc1C3Fc2C1Fv7V3LPS15,V,C3,C0,C4,C0,C1,C1,0,1,0,0,1,9
Fc1C3Fc2C1Fv8V1LQS3,Q,C2,C3,C3,C9,C0,C1,0,0,0,0,0,0
Fc1C3Fc2C1Fv8V1LQS4,R,C0,C3,C0,C7,C0,C3,4,4,0,4,4,0
Fc1C3Fc2C1Fv8V1LQS5,R,C0,C3,C1,C4,C0,C2,4,1,0,6,2,0
Fc1C3Fc2C1Fv8V1LQS6,R,C8,C0,C7,C0,C0,C3,6,0,0,0,3,5
Fc1C3Fc2C1Fv8V1LQS7,Q,C3,C0,C8,C1,C3,C4,3,4,3,1,5,0
Fc1C3Fc2C1Fv8V1LQS8,Q,C9,C0,C0,C7,C0,C7,7,6,0,3,0,0
Fc1C3Fc2C1Fv8V1LQS9,Q,C2,C3,C4,C0,C1,C2,0,0,0,3,1,0
Fc1C3Fc2C1Fv8V1LQS10,P,C3,C0,C2,C7,C9,C0,0,0,0,0,0,9
Fc1C3Fc2C1Fv8V1LQS11,Q,C0,C3,C0,C0,C2,C0,0,0,0,7,2,0
Fc1C3Fc2C1Fv8V1LQS12,Q,C0,C0,C4,C7,C9,C0,0,0,1,5,7,4
Fc1C3Fc2C1Fv8V1LQS13,P,C5,C1,C0,C9,C6,C1,8,0,1,0,0,0
Fc1C3Fc2C1Fv8V1LQS14,Q,C2,C9,C1,C1,C0,C0,0,0,0,0,0,0
Fc1C3Fc2C1Fv8V1LQS15,V,C2,C9,C3,C3,C0,C0,0,0,1,0,3,0
Fc1C3Fc2C1Fv8V2LRS3,P,C6,C0,C1,C0,C0,C1,1,5,1,0,0,6
Fc1C3Fc2C1Fv8V2LRS4,P,C4,C1,C7,C5,C0,C0,1,0,1,0,4,0
Fc1C3Fc2C1Fv8V2LRS5,R,C5,C0,C3,C0,C0,C2,1,0,0,1,2,0
Fc1C3Fc2C1Fv8V2LRS6,S,C0,C9,C3,C8,C0,C3,0,1,2,0,7,0
Fc1C3Fc2C1Fv8V2LRS7,V,C8,C1,C7,C9,C1,C4,0,1,1,3,6,0
Fc1C3Fc2C1Fv8V2LRS8,T,C1,C4,C3,C7,C0,C7,0,4,2,1,1,3
Fc1C3Fc2C1Fv8V2LRS9,P,C2,C3,C0,C2,C1,C2,1,0,1,0,3,0
Fc1C3Fc2C1Fv8V2LRS10,S,C2,C0,C0,C0,C0,C7,0,0,1,8,0,0
Fc1C3Fc2C1Fv8V2LRS11,R,C0,C1,C3,C2,C1,C0,4,0,2,0,0,0
Fc1C3Fc2C1Fv8V2LRS12,T,C2,C9,C0,C0,C0,C0,1,1,0,2,3,0
Fc1C3Fc2C1Fv8V2LRS13,V,C6,C0,C0,C3,C0,C1,0,6,2,0,5,2
Fc1C3Fc2C1Fv8V2LRS14,S,C2,C7,C1,C0,C2,C2,1,0,0,0,0,6
